Foundation EIN,Foundation name,Foundation city,Foundation state,Foundation county,Foundation.Year formed,Foundation.Most recent tax filings,"Foundation.NTEE code, primary","Foundation.NAICS code, primary",Foundation.Total revenues,Foundation.Total liabilities,Foundation revenues,Foundation assets,Foundation Grant geographic focus,Foundation Total num. grants made,Grant recipient EIN,Grant recipient name,Grant amounts,Fiscal year when grants made,Recipient.Street address,Recipient.City,Recipient.Zip code,Recipient.County,Recipient.Year formed,Recipient.Most recent tax filings,"Recipient.NTEE code, primary","Recipient.NAICS code, primary",Recipient.Has full-time employees,Recipient.Has endowment support,Recipient.Federal funding types,Recipient.Total assets,Recipient.Total revenues,Recipient.Total liabilities,Recipient.Total expenses,Recipient.Number of grants made,Recipient.Median grant amount
33-0547453,Regional Access Project Foundation,"Palm Desert, California",CA,"Riverside County, California",1992,6/1/2024,"S00: Community Improvement, Capacity Building: General",813211: Grantmaking Foundations,4204679,1031248,4204679,7296785,Metro,61,95-1957907,Boys & Girls Club of Palm Springs,10000,6/1/2024,450 S Sunrise Way,Palm Springs,92262,"Riverside County, California",1948,12/1/2023,"O20: Youth Centers, Boys and Girls Clubs",813410: Civic and Social Organizations,Yes,Yes,Block grant; Grant; Sub-grant,7961270,1732104,575636,1660351,1,167820
33-0547453,Regional Access Project Foundation,"Palm Desert, California",CA,"Riverside County, California",1992,6/1/2024,"S00: Community Improvement, Capacity Building: General",813211: Grantmaking Foundations,4204679,1031248,4204679,7296785,Metro,61,23-7259517,Desert Access and Mobility,10000,6/1/2023,471 E Tahquitz Canyon Way 218,Palm Springs,92262,"Riverside County, California",1972,6/1/2023,G40: Diseases of Specific Organs,624120: Services for the Elderly and People with Disabilities,No,No,Project grant; Formula grant; Grant; Sub-grant,60110,67072,19370,145865,,
33-0547453,Regional Access Project Foundation,"Palm Desert, California",CA,"Riverside County, California",1992,6/1/2024,"S00: Community Improvement, Capacity Building: General",813211: Grantmaking Foundations,4204679,1031248,4204679,7296785,Metro,61,83-3466948,Shays Warriors,10000,6/1/2024,42-215 Washington St A389,Palm Desert,92211,"Riverside County, California",2018,9/1/2024,E86: Patient Services,813410: Civic and Social Organizations,No,No,,150989,218315,32,124939,,
33-0547453,Regional Access Project Foundation,"Palm Desert, California",CA,"Riverside County, California",1992,6/1/2024,"S00: Community Improvement, Capacity Building: General",813211: Grantmaking Foundations,4204679,1031248,4204679,7296785,Metro,61,95-3402464,Neuro Vitality Center,10000,6/1/2024,PO Box 1544,Palm Springs,92263,"Riverside County, California",1979,6/1/2024,"G43: Heart and Circulatory System Diseases, Disorders",813212: Health and Disease Research Fundraising Organizations,Yes,No,Formula grant; Grant; Sub-grant,276979,1035651,21179,1449751,,
33-0547453,Regional Access Project Foundation,"Palm Desert, California",CA,"Riverside County, California",1992,6/1/2024,"S00: Community Improvement, Capacity Building: General",813211: Grantmaking Foundations,4204679,1031248,4204679,7296785,Metro,61,20-3671083,The Girlfriend Factor,10000,6/1/2024,77734 Country Club Dr E,Palm Desert,92211,"Riverside County, California",2006,12/1/2023,"B82: Scholarships, Student Financial Aid Services",611430: Professional and Management Development Training,No,No,,387747,126879,0,122448,,
33-0547453,Regional Access Project Foundation,"Palm Desert, California",CA,"Riverside County, California",1992,6/1/2024,"S00: Community Improvement, Capacity Building: General",813211: Grantmaking Foundations,4204679,1031248,4204679,7296785,Metro,61,83-1189707,Advancing Steps,10000,6/1/2024,14080 Palm Dr Ste E,DSRT Hot SPGS,92240,"Riverside County, California",2019,12/1/2022,I40: Rehabilitation Services for Offenders,,No,No,,,,,,,
33-0547453,Regional Access Project Foundation,"Palm Desert, California",CA,"Riverside County, California",1992,6/1/2024,"S00: Community Improvement, Capacity Building: General",813211: Grantmaking Foundations,4204679,1031248,4204679,7296785,Metro,61,82-3900893,Ronnies House for Hope,10000,6/1/2024,41590 Balaclava Dr,Bermuda Dunes,92203,"Riverside County, California",2018,12/1/2024,F60: Counseling Support Groups,,No,No,,,,,,,
81-0661056,Loma Linda University Shared Services,"San Bernardino, California",CA,"San Bernardino County, California",2004,6/1/2024,B43: University or Technological Institute,813110: Religious Organizations,340062224,265891297,340062224,273393487,Metro,13,95-6006074,Redlands Bowl Performing Arts,10000,6/1/2023,168 S Eureka St,Redlands,92373,"San Bernardino County, California",1924,12/1/2024,A61: Performing Arts Centers,711110: Theater Companies and Dinner Theaters,Yes,No,Project grant; Grant,5934253,1594205,14308,1726044,,
81-0661056,Loma Linda University Shared Services,"San Bernardino, California",CA,"San Bernardino County, California",2004,6/1/2024,B43: University or Technological Institute,813110: Religious Organizations,340062224,265891297,340062224,273393487,Metro,13,95-6006074,Redlands Bowl Performing Arts,10000,6/1/2024,168 S Eureka St,Redlands,92373,"San Bernardino County, California",1924,12/1/2024,A61: Performing Arts Centers,711110: Theater Companies and Dinner Theaters,Yes,No,Project grant; Grant,5934253,1594205,14308,1726044,,
81-0661056,Loma Linda University Shared Services,"San Bernardino, California",CA,"San Bernardino County, California",2004,6/1/2024,B43: University or Technological Institute,813110: Religious Organizations,340062224,265891297,340062224,273393487,Metro,13,33-0364239,Loma Linda University Health Care,10000,6/1/2023,11175 Campus St 11120,Loma Linda,92350,"San Bernardino County, California",1989,6/1/2024,E31: Group Health Practice,813211: Grantmaking Foundations,Yes,No,,141835056,235023024,86243347,230502864,1,18925780
33-0052434,Versacare,"Loma Linda, California",CA,"San Bernardino County, California",1990,12/1/2023,T20: Private Foundations,813211: Grantmaking Foundations,2477141,690130,2477141,63581302,National,141,95-2420027,La Sierra Academy and Elementry School,10000,12/1/2023,4900 Golden Ave,Riverside,92505,"Riverside County, California",1947,,X00: Religion: General,813110: Religious Organizations,No,No,,,,,,,
95-2783993,United Way of the Desert,"La Quinta, California",CA,"Riverside County, California",1972,6/1/2023,"T00: Philanthropy, Voluntarism, and Grantmaking Foundations: General",624190: Individual and Family Services,525967,52500,525967,704189,Metro,11,95-2549152,Food Now / Family Services of the Desert,10000,6/1/2023,14080 Palm Dr Suite E,Desert Hot Springs,92240,"Riverside County, California",1959,6/1/2024,"K31: Food Banks, Food Pantries",624210: Community Food Services,Yes,No,,458853,2046646,10521,1936096,,
95-2783993,United Way of the Desert,"La Quinta, California",CA,"Riverside County, California",1972,6/1/2023,"T00: Philanthropy, Voluntarism, and Grantmaking Foundations: General",624190: Individual and Family Services,525967,52500,525967,704189,Metro,11,33-0613083,Jewish Family Service of the Desert,10000,6/1/2023,490 S Farrell Dr,Palm Springs,92262,"Riverside County, California",1994,6/1/2024,P40: Family Services,624190: Individual and Family Services,Yes,Yes,Direct payment; Grant,2476999,2766232,559349,2969455,,
95-2783993,United Way of the Desert,"La Quinta, California",CA,"Riverside County, California",1972,6/1/2023,"T00: Philanthropy, Voluntarism, and Grantmaking Foundations: General",624190: Individual and Family Services,525967,52500,525967,704189,Metro,11,33-0071613,John F Kennedy Memorial Foundation,10000,6/1/2023,73-555 San Gorgonio Way,Palm Desert,92260,"Riverside County, California",1984,6/1/2024,"T00: Philanthropy, Voluntarism, and Grantmaking Foundations: General",624110: Child and Youth Services,Yes,No,Formula grant; Grant; Sub-grant,1233569,1441017,149220,1283088,,
31-1284629,Norco Horse Week,"Norco, California",CA,"Riverside County, California",1992,10/1/2024,"N52: Fair, County and Other","7113: Promoters of Performing Arts, Sports, and Similar Events",713474,0,713474,501183,Metro,4,33-0502905,Norco Senior Citizen and Pet Relief Fund,10000,10/1/2023,PO Box 663,Norco,92860,"Riverside County, California",1997,12/1/2024,P60: Emergency Assistance,624230: Emergency and Relief Services,No,No,,67407,24701,0,18321,,
45-3656119,Soboba Foundation,"San Jacinto, California",CA,"Riverside County, California",2010,12/1/2023,"A60: Performing Arts Organizations, Activities",813410: Civic and Social Organizations,852770,234151,852770,502925,State,25,33-0470446,Oak Grove Center,10000,12/1/2023,24275 Jefferson Ave,Murrieta,92562,"Riverside County, California",1981,12/1/2023,P11: Human Services Single Organization Support,623210: Residential Intellectual and Developmental Disability Facilities,Yes,No,Direct payment; Grant,36184320,24450940,3626474,22638240,,
45-3656119,Soboba Foundation,"San Jacinto, California",CA,"Riverside County, California",2010,12/1/2023,"A60: Performing Arts Organizations, Activities",813410: Civic and Social Organizations,852770,234151,852770,502925,State,25,95-2846605,Riverside-San Bernardino County Indian Health,10000,12/1/2023,11980 MT Vernon Ave,Grand Terrace,92313,"San Bernardino County, California",1974,12/1/2024,"E32: Ambulatory Health Center, Community Clinic",621: Outpatient Health Care Practitioners and Facilities,Yes,No,,202903625,87152097,3522826,63194806,,
45-3656119,Soboba Foundation,"San Jacinto, California",CA,"Riverside County, California",2010,12/1/2023,"A60: Performing Arts Organizations, Activities",813410: Civic and Social Organizations,852770,234151,852770,502925,State,25,26-4495650,Grandfathers for Golf,10000,12/1/2023,262 N La Paloma Ave,San Jacinto,92582,"Riverside County, California",2010,12/1/2024,"N60: Amateur Sports Clubs, Leagues",713910: Golf Courses and Country Clubs,No,No,,4867,14284,0,24377,,
45-3656119,Soboba Foundation,"San Jacinto, California",CA,"Riverside County, California",2010,12/1/2023,"A60: Performing Arts Organizations, Activities",813410: Civic and Social Organizations,852770,234151,852770,502925,State,25,33-0819778,Carol's Kitchen,10000,12/1/2023,244 Maple Ave,Beaumont,92223,"Riverside County, California",1998,12/1/2024,P85: Homeless Persons Centers and Services,624210: Community Food Services,Yes,No,,438032,1098779,0,1226317,,
45-3656119,Soboba Foundation,"San Jacinto, California",CA,"Riverside County, California",2010,12/1/2023,"A60: Performing Arts Organizations, Activities",813410: Civic and Social Organizations,852770,234151,852770,502925,State,25,87-1886116,House of Pain So Cal Boxing and Fitness Club - A Youth Mentoring P,10000,12/1/2023,28837 Pujol St Apt 621,Temecula,92590,"Riverside County, California",2022,12/1/2024,"O50: Youth Development Programs, Other",,No,No,,,,,,,
81-0742396,Mozoras Family Foundation,"Indian Wells, California",CA,"Riverside County, California",2017,12/1/2024,T20: Private Foundations,813211: Grantmaking Foundations,19988,0,19988,2553164,Metro,6,88-0516473,Indio Police Officers John Rose Memorial Widows Emergency and Scholarship Fund,10000,12/1/2024,82085 Hanson Dr,Indio,92201,"Riverside County, California",2004,12/1/2023,M20: Disaster Preparedness and Relief Service,813410: Civic and Social Organizations,No,No,,473128,47052,15225,14427,,
81-0742396,Mozoras Family Foundation,"Indian Wells, California",CA,"Riverside County, California",2017,12/1/2024,T20: Private Foundations,813211: Grantmaking Foundations,19988,0,19988,2553164,Metro,6,23-7296531,Guide Dogs of the Desert,10000,12/1/2023,60735 Dillon Rd,Whitewater,92282,"Riverside County, California",1972,12/1/2024,"B28: Special Education Institutions, Programs",,Yes,Yes,,11785223,2764522,657520,3241312,,
95-4725924,Desert Community Foundation,"Palm Desert, California",CA,"Riverside County, California",1999,6/1/2024,T31: Community Foundations,813211: Grantmaking Foundations,12638234,9312,12638234,50379669,Metro,33,95-4304295,Coachella Valley Repertory,10000,6/1/2024,68510 E Palm Canyon Dr,Cathedral City,92234,"Riverside County, California",1990,6/1/2024,A65: Theater,711110: Theater Companies and Dinner Theaters,Yes,Yes,,4188596,2012562,1765412,2279846,,
76-0721677,The Grace Helen Spearman Foundation,"Palm Springs, California",CA,"Riverside County, California",2003,11/1/2024,T20: Private Foundations,813211: Grantmaking Foundations,1516365,34505,1516365,13702878,Metro,90,27-1259579,Made,10000,11/1/2023,PO Box 5001,Palm Springs,92263,"Riverside County, California",2009,5/1/2024,"A20: Arts, Cultural Organizations","7121: Museums, Historical Sites, and Similar Institutions",Yes,No,,1726314,3867056,152581,4142003,3,65000
76-0721677,The Grace Helen Spearman Foundation,"Palm Springs, California",CA,"Riverside County, California",2003,11/1/2024,T20: Private Foundations,813211: Grantmaking Foundations,1516365,34505,1516365,13702878,Metro,90,27-1259579,Made,10000,11/1/2024,PO Box 5001,Palm Springs,92263,"Riverside County, California",2009,5/1/2024,"A20: Arts, Cultural Organizations","7121: Museums, Historical Sites, and Similar Institutions",Yes,No,,1726314,3867056,152581,4142003,3,65000
76-0721677,The Grace Helen Spearman Foundation,"Palm Springs, California",CA,"Riverside County, California",2003,11/1/2024,T20: Private Foundations,813211: Grantmaking Foundations,1516365,34505,1516365,13702878,Metro,90,95-2834871,Friends of the Cultural Center,10000,11/1/2024,73000 Fred Waring Dr,Palm Desert,92260,"Riverside County, California",1973,7/1/2024,A61: Performing Arts Centers,711110: Theater Companies and Dinner Theaters,Yes,Yes,,62867475,23336190,12980283,18829170,,
76-0721677,The Grace Helen Spearman Foundation,"Palm Springs, California",CA,"Riverside County, California",2003,11/1/2024,T20: Private Foundations,813211: Grantmaking Foundations,1516365,34505,1516365,13702878,Metro,90,95-2783993,United Way of the Desert,10000,11/1/2024,78401 Hwy 111 Ste G,La Quinta,92253,"Riverside County, California",1972,6/1/2023,"T00: Philanthropy, Voluntarism, and Grantmaking Foundations: General",624190: Individual and Family Services,Yes,Yes,,704189,525967,52500,874422,11,8500
76-0721677,The Grace Helen Spearman Foundation,"Palm Springs, California",CA,"Riverside County, California",2003,11/1/2024,T20: Private Foundations,813211: Grantmaking Foundations,1516365,34505,1516365,13702878,Metro,90,23-7211881,Jewish Federation of Palm Springs and Desert Area,10000,11/1/2024,69710 Hwy 111,Rancho Mirage,92270,"Riverside County, California",1960,6/1/2023,X30: Jewish,813410: Civic and Social Organizations,Yes,Yes,,8078386,2247263,1701249,2162290,16,58750
76-0721677,The Grace Helen Spearman Foundation,"Palm Springs, California",CA,"Riverside County, California",2003,11/1/2024,T20: Private Foundations,813211: Grantmaking Foundations,1516365,34505,1516365,13702878,Metro,90,45-4219977,Senior Advocates of the Desert,10000,11/1/2023,PO Box 2827,Cathedral City,92235,"Riverside County, California",2012,12/1/2024,P81: Senior Centers and Services,624120: Services for the Elderly and People with Disabilities,No,No,,209529,94504,0,59963,,
76-0721677,The Grace Helen Spearman Foundation,"Palm Springs, California",CA,"Riverside County, California",2003,11/1/2024,T20: Private Foundations,813211: Grantmaking Foundations,1516365,34505,1516365,13702878,Metro,90,33-0694580,The Well in the Desert,10000,11/1/2024,PO Box 5312,Palm Springs,92263,"Riverside County, California",1996,12/1/2023,"L41: Homeless, Temporary Shelter",624210: Community Food Services,No,No,,227620,355281,60440,384469,,
76-0721677,The Grace Helen Spearman Foundation,"Palm Springs, California",CA,"Riverside County, California",2003,11/1/2024,T20: Private Foundations,813211: Grantmaking Foundations,1516365,34505,1516365,13702878,Metro,90,95-3618489,Cathedral Center / Cathedral City Senior Center,10000,11/1/2023,37-171 W Buddy Rogers Ave,Cathedral City,92234,"Riverside County, California",1980,12/1/2023,P81: Senior Centers and Services,624120: Services for the Elderly and People with Disabilities,Yes,No,,387091,1149902,356031,1226683,,
76-0721677,The Grace Helen Spearman Foundation,"Palm Springs, California",CA,"Riverside County, California",2003,11/1/2024,T20: Private Foundations,813211: Grantmaking Foundations,1516365,34505,1516365,13702878,Metro,90,92-2008022,Palm Springs Symphony,10000,11/1/2024,37387 Turnberry Isle Dr,Palm Desert,92211,"Riverside County, California",2023,12/1/2024,A68: Music,,No,No,,,,,,,
95-4325051,The Auen Foundation,"Palm Desert, California",CA,"Riverside County, California",1991,12/1/2023,T20: Private Foundations,813211: Grantmaking Foundations,837046,733634,837046,33730911,Metro,47,23-7296531,Guide Dogs of the Desert,10000,12/1/2023,60735 Dillon Rd,Whitewater,92282,"Riverside County, California",1972,12/1/2024,"B28: Special Education Institutions, Programs",,Yes,Yes,,11785223,2764522,657520,3241312,,
95-4325051,The Auen Foundation,"Palm Desert, California",CA,"Riverside County, California",1991,12/1/2023,T20: Private Foundations,813211: Grantmaking Foundations,837046,733634,837046,33730911,Metro,47,33-0880635,Act for Multiple Sclerosis,10000,12/1/2023,73710 Fred Waring Dr Ste 118,Palm Desert,92260,"Riverside County, California",1999,12/1/2023,"G50: Nerve, Muscle, and Bone Diseases",813212: Health and Disease Research Fundraising Organizations,No,No,,181022,291497,0,259591,,
36-5021477,Iehp Foundation,"Rancho Cucamonga, California",CA,"San Bernardino County, California",2021,12/1/2023,E12: Health Care Fund Raising and Fund Distribution,813212: Health and Disease Research Fundraising Organizations,63808304,6858,63808304,118876465,Metro,5,33-0938212,Congregations Organized for Prophetic Engagement,10000,12/1/2023,1505 W Highland Ave 1,San Bernardino,92411,"San Bernardino County, California",2000,6/1/2023,X20: Christian,813110: Religious Organizations,Yes,No,,9194004,6022187,152292,2107705,8,8900
36-5021477,Iehp Foundation,"Rancho Cucamonga, California",CA,"San Bernardino County, California",2021,12/1/2023,E12: Health Care Fund Raising and Fund Distribution,813212: Health and Disease Research Fundraising Organizations,63808304,6858,63808304,118876465,Metro,5,52-2405277,Time For Change Foundation,10000,12/1/2023,2164 N Mountain View Ave,San Bernardino,92405,"San Bernardino County, California",2004,6/1/2024,Z99: ,624190: Individual and Family Services,Yes,No,Formula grant; Project grant; Grant; Sub-grant,18748935,5322783,291396,4653853,,
36-5021477,Iehp Foundation,"Rancho Cucamonga, California",CA,"San Bernardino County, California",2021,12/1/2023,E12: Health Care Fund Raising and Fund Distribution,813212: Health and Disease Research Fundraising Organizations,63808304,6858,63808304,118876465,Metro,5,82-5258187,Lift To Rise,10000,12/1/2023,73-710 Fred Waring Dr 100 Ste 100,Palm Desert,92260,"Riverside County, California",2018,6/1/2023,P20: Human Service Organizations,62422: Community Housing Services,Yes,No,,18507666,34532631,957906,17902377,4,187500
45-4716853,PS Resorts,"Palm Springs, California",CA,"Riverside County, California",2012,12/1/2023,S30: Economic Development,561591: Convention and Visitors Bureaus,899429,0,899429,1678630,Metro,15,33-0615350,Palm Springs Air Museum,10000,12/1/2023,745 N Gene Autry Trail,Palm Springs,92262,"Riverside County, California",1994,8/1/2024,A54: History Museums,"7121: Museums, Historical Sites, and Similar Institutions",Yes,No,Contract; Purchase order,25962550,5906509,790302,4654934,,
45-4716853,PS Resorts,"Palm Springs, California",CA,"Riverside County, California",2012,12/1/2023,S30: Economic Development,561591: Convention and Visitors Bureaus,899429,0,899429,1678630,Metro,15,33-0615350,Palm Springs Air Museum,10000,12/1/2023,745 N Gene Autry Trail,Palm Springs,92262,"Riverside County, California",1994,8/1/2024,A54: History Museums,"7121: Museums, Historical Sites, and Similar Institutions",Yes,No,Contract; Purchase order,25962550,5906509,790302,4654934,,
45-4716853,PS Resorts,"Palm Springs, California",CA,"Riverside County, California",2012,12/1/2023,S30: Economic Development,561591: Convention and Visitors Bureaus,899429,0,899429,1678630,Metro,15,33-0615350,Palm Springs Air Museum,10000,12/1/2023,745 N Gene Autry Trail,Palm Springs,92262,"Riverside County, California",1994,8/1/2024,A54: History Museums,"7121: Museums, Historical Sites, and Similar Institutions",Yes,No,Contract; Purchase order,25962550,5906509,790302,4654934,,
45-4140394,Annette M Williams Charitable Foundation,"San Bernardino, California",CA,"San Bernardino County, California",2015,12/1/2023,T20: Private Foundations,813211: Grantmaking Foundations,906182,0,906182,12745799,Metro,60,95-1997024,Legal Aid Society of San Bernardino,10000,12/1/2023,588 W Sixth St,San Bernardino,92410,"San Bernardino County, California",1958,12/1/2023,I80: Legal Services,5411: Legal Services,Yes,No,Formula grant; Grant; Sub-grant,1703583,3279610,367935,3691594,,
45-4140394,Annette M Williams Charitable Foundation,"San Bernardino, California",CA,"San Bernardino County, California",2015,12/1/2023,T20: Private Foundations,813211: Grantmaking Foundations,906182,0,906182,12745799,Metro,60,95-2113598,Congregation Emanu El A Corporation,10000,12/1/2023,1495 Ford St,Redlands,92373,"San Bernardino County, California",1948,,X00: Religion: General,813110: Religious Organizations,No,No,,,,,,,
85-0812992,Supple Foundation,"Palm Springs, California",CA,"Riverside County, California",2020,12/1/2023,T20: Private Foundations,813211: Grantmaking Foundations,607863,45207,607863,2985992,Metro,8,95-1698429,Desert Art Center,10000,12/1/2023,555 N Palm Canyon Dr,Palm Springs,92262,"Riverside County, California",1950,6/1/2025,"A40: Visual Art Organizations, Services","7121: Museums, Historical Sites, and Similar Institutions",Yes,No,,257760,359775,8571,341137,,
85-0812992,Supple Foundation,"Palm Springs, California",CA,"Riverside County, California",2020,12/1/2023,T20: Private Foundations,813211: Grantmaking Foundations,607863,45207,607863,2985992,Metro,8,51-0142318,Friends of the Palm Springs Library,10000,12/1/2023,300 S Sunrise Way,Palm Springs,92262,"Riverside County, California",1975,12/1/2022,"B70: Libraries, Library Science",51912: Libraries and Archives,No,No,,1186117,106439,0,110265,2,16881
20-1306111,The Galen Family Foundation,"Rancho Mirage, California",CA,"Riverside County, California",2005,12/1/2023,T20: Private Foundations,813211: Grantmaking Foundations,49039,0,49039,1380543,State,36,95-3171867,Animal Samaritans,10000,12/1/2023,72120 Petland Pl,Thousand Palms,92276,"Riverside County, California",1978,12/1/2023,D20: Animal Protection and Welfare,"813312: Environment, Conservation, and Wildlife Organizations",Yes,Yes,,8452315,10226607,368389,10006066,,
20-1306111,The Galen Family Foundation,"Rancho Mirage, California",CA,"Riverside County, California",2005,12/1/2023,T20: Private Foundations,813211: Grantmaking Foundations,49039,0,49039,1380543,State,36,95-4725924,Desert Community Foundation,10000,12/1/2023,75105 Merle Dr 300,Palm Desert,92211,"Riverside County, California",1999,6/1/2024,T31: Community Foundations,813211: Grantmaking Foundations,No,No,,50379669,12638234,9312,4651034,33,10290
20-1306111,The Galen Family Foundation,"Rancho Mirage, California",CA,"Riverside County, California",2005,12/1/2023,T20: Private Foundations,813211: Grantmaking Foundations,49039,0,49039,1380543,State,36,95-6122699,Boys and Girls Club of Coachella Valley,10000,12/1/2023,42-600 Cook St 120,Palm Desert,92211,"Riverside County, California",1964,6/1/2024,"O20: Youth Centers, Boys and Girls Clubs",813410: Civic and Social Organizations,Yes,Yes,,18102357,4473863,351363,3617383,,
20-1306111,The Galen Family Foundation,"Rancho Mirage, California",CA,"Riverside County, California",2005,12/1/2023,T20: Private Foundations,813211: Grantmaking Foundations,49039,0,49039,1380543,State,36,92-3752829,Do the Right Thing Greater Palm Springs,10000,12/1/2023,12122 Troon Cir,Rancho Mirage,92270,"Riverside County, California",2023,12/1/2024,I20: Crime Prevention,813410: Civic and Social Organizations,No,No,,272402,201641,72,94825,,
85-1010439,Growing Inland Achievement,"Redlands, California",CA,"San Bernardino County, California",2020,12/1/2024,B02: Education Management and Technical Assistance,813319: Social Advocacy Organizations,3644870,292582,3644870,8880707,Metro,5,81-3653698,OneFuture Coachella Valley,10000,12/1/2023,41550 Eclectic St 204d,Palm Desert,92260,"Riverside County, California",2016,6/1/2024,"B82: Scholarships, Student Financial Aid Services",813319: Social Advocacy Organizations,Yes,No,Project grant; Grant; Sub-grant,2294593,3075898,391167,3283085,1,55600
85-1010439,Growing Inland Achievement,"Redlands, California",CA,"San Bernardino County, California",2020,12/1/2024,B02: Education Management and Technical Assistance,813319: Social Advocacy Organizations,3644870,292582,3644870,8880707,Metro,5,33-0748536,Inland Empire Community Foundation,10000,12/1/2023,3700 Sixth St 200,Riverside,92501,"Riverside County, California",1997,12/1/2023,T31: Community Foundations,813211: Grantmaking Foundations,Yes,Yes,,136860693,41121733,24139502,34281398,311,25250
95-1811238,Ontario Community Foundation,"Upland, California",CA,"San Bernardino County, California",1956,12/1/2024,T31: Community Foundations,813211: Grantmaking Foundations,224969,243,224969,3438287,Metro,19,33-0193286,Children's Fund,10000,12/1/2023,348 W Hospitality LN 110,San Bernardino,92408,"San Bernardino County, California",1986,6/1/2024,P30: Childrens and Youth Services,624110: Child and Youth Services,Yes,No,Formula grant; Project grant; Grant; Sub-grant,3506301,5124126,733952,4760763,6,83034
95-1811238,Ontario Community Foundation,"Upland, California",CA,"San Bernardino County, California",1956,12/1/2024,T31: Community Foundations,813211: Grantmaking Foundations,224969,243,224969,3438287,Metro,19,95-1948811,Assistance League Foothill Communities,10000,12/1/2024,PO Box 927,Upland,91785,"San Bernardino County, California",1954,5/1/2024,S80: Community Service Clubs,813410: Civic and Social Organizations,No,No,,2082313,606787,17558,578665,1,0
95-1811238,Ontario Community Foundation,"Upland, California",CA,"San Bernardino County, California",1956,12/1/2024,T31: Community Foundations,813211: Grantmaking Foundations,224969,243,224969,3438287,Metro,19,95-2465264,Anthesis Services,10000,12/1/2024,1063 W 6th St,Ontario,91762,"San Bernardino County, California",1966,12/1/2023,J30: Vocational Rehabilitation,624310: Vocational Rehabilitation Services,Yes,No,,5377695,8121428,475097,7122074,,
95-1811238,Ontario Community Foundation,"Upland, California",CA,"San Bernardino County, California",1956,12/1/2024,T31: Community Foundations,813211: Grantmaking Foundations,224969,243,224969,3438287,Metro,19,95-2465264,Anthesis Services,10000,12/1/2023,1063 W 6th St,Ontario,91762,"San Bernardino County, California",1966,12/1/2023,J30: Vocational Rehabilitation,624310: Vocational Rehabilitation Services,Yes,No,,5377695,8121428,475097,7122074,,
95-1811238,Ontario Community Foundation,"Upland, California",CA,"San Bernardino County, California",1956,12/1/2024,T31: Community Foundations,813211: Grantmaking Foundations,224969,243,224969,3438287,Metro,19,95-1943396,Oparc,10000,12/1/2023,9029 Vernon Ave,Montclair,91763,"San Bernardino County, California",1950,6/1/2024,P82: Developmentally Disabled Centers and Services,624310: Vocational Rehabilitation Services,Yes,Yes,Formula grant; Grant; Sub-grant,21218897,16416276,2427416,16759740,,
95-1811238,Ontario Community Foundation,"Upland, California",CA,"San Bernardino County, California",1956,12/1/2024,T31: Community Foundations,813211: Grantmaking Foundations,224969,243,224969,3438287,Metro,19,83-0811569,Warrior for Children,10000,12/1/2024,1523 Howard Access Rd Ste A,Upland,91786,"San Bernardino County, California",2018,12/1/2024,P40: Family Services,813319: Social Advocacy Organizations,Yes,No,,99092,1240096,1684,1228812,,
33-6017847,James L White Foundation,"Palm Desert, California",CA,"Riverside County, California",1988,12/1/2024,T20: Private Foundations,813211: Grantmaking Foundations,26056,0,26056,617201,Metro,16,46-1433958,Friends of the Ontario Comshow Band,10000,12/1/2024,9964 Meadowood Dr,RCH Cucamonga,91737,"San Bernardino County, California",2014,12/1/2024,"A00: Arts, Culture, and Humanities: General",,No,No,,,,,,,
45-3802754,William A Schmidt and Teresa Elliott Schmidt Charitable Foundation,"Rancho Mirage, California",CA,"Riverside County, California",2012,11/1/2024,T20: Private Foundations,813211: Grantmaking Foundations,90962,0,90962,622681,State,24,95-3385354,Living Desert,10000,11/1/2024,47-900 Portola Ave,Palm Desert,92260,"Riverside County, California",1970,6/1/2024,C60: Environmental Education,"813312: Environment, Conservation, and Wildlife Organizations",Yes,Yes,Project grant; Grant; Cooperative agreement; Sub-grant,156168736,41500614,3598194,25539071,7,10000
82-4264817,The Marvin Ronald Bernstein Foundation,"Upland, California",CA,"San Bernardino County, California",2019,12/1/2023,T20: Private Foundations,813211: Grantmaking Foundations,35703,0,35703,5583956,State,21,33-0530896,Baja Christian Ministries,10000,12/1/2023,4195 Chino Hills Pkwy 390,Chino Hills,91709,"San Bernardino County, California",1993,12/1/2023,X30: Jewish,813110: Religious Organizations,Yes,No,,247440,1518277,2976,1548155,,
82-1342410,The Jack H Brown Family Foundation,"Riverside, California",CA,"Riverside County, California",2017,12/1/2024,T20: Private Foundations,813211: Grantmaking Foundations,7039423,6415,7039423,36715476,Metro,12,23-7212974,Little League Baseball 4052101 Citrus LL,10000,12/1/2024,8780 19th St Ste 348,Rancho Cucamonga,91701,"San Bernardino County, California",2020,9/1/2023,"N63: Baseball, Softball","713990: Amateur Sports, Youth Sports, and Recreational Services",No,No,,30965,135047,0,169611,,
33-0775211,The Lossett Family Foundation,"Redlands, California",CA,"San Bernardino County, California",1998,12/1/2023,T20: Private Foundations,813211: Grantmaking Foundations,13848,0,13848,792565,Metro,8,95-1655614,Family Service Association of Redlands,10000,12/1/2023,612 Lawton Ave,Redlands,92374,"San Bernardino County, California",1898,12/1/2023,P20: Human Service Organizations,624190: Individual and Family Services,Yes,Yes,Formula grant; Grant; Sub-grant,5729329,2068592,819535,2112035,,
