EIN,Org name,Acronym,Website URL,Street address,City,Zip code,County,Year formed,Most recent tax filings,"NTEE code, primary","NAICS code, primary",California FTB status revoked,Has full-time employees,Has endowment support,Federal funding types,Total assets,Total revenues,Number of grants received,"Total grants, contributions, etc.: Percent of revenues",Total liabilities,Total expenses,Total general management expenses: Percent of expenses,Total program-related expenses: Percent of expenses,"All salaries, compensation, and employee benefits: Percent of expenses",Number of grants made,Median grant amount
33-0859150,Dusty Wings of the Desert,,,PO Box 13993,Palm Desert,92255,"Riverside County, California",1999,6/1/2024,"O50: Youth Development Programs, Other",624110: Child and Youth Services,No,No,No,,15835,49188,0,99.97966984,0,47563,,0,0,,
41-2125737,California State PTA - Citrus Elementary PTA,,,16041 Randall Ave,Fontana,92335,"San Bernardino County, California",1943,6/1/2024,B94: Parent-Teacher Associations PTAs,813410: Civic and Social Organizations,No,No,No,,15921,23679,0,3.585455467,0,30482,,100,0,,
20-8522350,California State PTA - Rio Vista PTA,,,67700 Verona Rd,Cathedral City,92234,"Riverside County, California",1943,6/1/2024,B94: Parent-Teacher Associations PTAs,813410: Civic and Social Organizations,No,No,No,,16069,57651,1,0,0,68138,,0,0,,
36-3980912,Yucca Valley Sunset Rotary,,,PO Box 697,Yucca Valley,92286,"San Bernardino County, California",2020,6/1/2024,S80: Community Service Clubs,813410: Civic and Social Organizations,No,No,No,,16189,11959,1,116.5900159,261,20784,,72.59430331,0,,
23-7042610,California State PTA - Garretson Elementary PTA,,,1650 Garretson Ave,Corona,92879,"Riverside County, California",1967,6/1/2024,B94: Parent-Teacher Associations PTAs,813410: Civic and Social Organizations,No,No,No,,16332,76359,1,2.475150277,0,70093,,88.35261724,0,,
95-6204034,California State PTA - Alfred C Henderson PTA,,https://barstow.k12.ca.us/,400 Ave E,Barstow,92311,"San Bernardino County, California",1967,6/1/2024,B94: Parent-Teacher Associations PTAs,813410: Civic and Social Organizations,No,No,No,,16848,10177,0,3.065736465,0,10977,,100,0,,
46-3936161,Spanish Town Heritage Foundation,,https://spanishtownhf.org/,3643 University Ave,Riverside,92501,"Riverside County, California",2014,6/1/2024,A54: History Museums,"7121: Museums, Historical Sites, and Similar Institutions",No,No,No,,17334,19078,1,143.9878394,0,80116,12.95975885,160.2364072,0,,
46-1171170,Rotary Club of Joshua Tree Foundation,,,PO Box 1323,Joshua Tree,92252,"San Bernardino County, California",2013,6/1/2024,S80: Community Service Clubs,813410: Civic and Social Organizations,No,No,No,,17361,7658,0,0,0,7525,,92.21262458,0,,
93-4230883,Efm College,,https://efm.college/,14519 Purdue Ave,Chino,91710,"San Bernardino County, California",2023,6/1/2024,B42: Undergraduate College (4-year),61151: Technical and Trade Schools,No,No,No,,17504,38827,0,21.89198238,234,21557,49.99768057,50.00231943,0,,
33-0714985,Bear Valley Community Healthcare District Foundation,,https://bvchd.com/,PO Box 6142,Big Bear Lake,92315,"San Bernardino County, California",1997,6/1/2024,T30: Public Foundations,813211: Grantmaking Foundations,No,No,No,,17525,158555,1,99.99117026,0,160669,1.641906944,96.52017502,0,,
87-2999653,California Cleft Pup Rescue,,https://californiacleftpuprescue.org/,1536 S State St 181,Hemet,92543,"Riverside County, California",2022,6/1/2024,D20: Animal Protection and Welfare,"813312: Environment, Conservation, and Wildlife Organizations",No,No,No,,17647,165506,2,100,0,127361,,0,0,,
47-5572861,Junior Fontana Leadership Intervention Program,,https://www.fusd.net/departments/fontana-school-police-department/jr-flip,9680 Citrus Ave Bldg 20,Fontana,92335,"San Bernardino County, California",2016,6/1/2024,"O50: Youth Development Programs, Other",624110: Child and Youth Services,No,No,No,,18276,13075,1,100,0,5413,,100,0,,
27-0663988,Murrieta Mesa HS Music Boosters,,https://www.mmhsperformancecorps.org/index.cfm,40960 California Oaks Rd 234,Murrieta,92562,"Riverside County, California",2010,6/1/2024,B94: Parent-Teacher Associations PTAs,813410: Civic and Social Organizations,No,No,No,,18458,100119,0,78.43965681,0,91991,,100,0,,
33-0316276,Rotary International - Redlands Sunrise,,,PO Box 8667,Redlands,92375,"San Bernardino County, California",1942,6/1/2024,S80: Community Service Clubs,813410: Civic and Social Organizations,No,No,No,,18483,62864,0,0,0,54325,,75.64841233,0,,
90-1117324,California State PTA - Ronald Reagan PTA,,,8300 Fieldmaster St,Eastvale,92880,"Riverside County, California",2015,6/1/2024,B94: Parent-Teacher Associations PTAs,813410: Civic and Social Organizations,No,No,No,,18664,67201,1,7.982024077,0,74921,13.80200425,66.38726125,0,,
95-0669799,Rotary International - Hemet Sunset Rotary Club,,,PO Box 2537,Hemet,92546,"Riverside County, California",1942,6/1/2024,S80: Community Service Clubs,813410: Civic and Social Organizations,No,No,No,,18862,45723,0,16.89302977,0,30843,,0,0,,
33-0624690,California State PTA - 5069 Thompson Middle Ptsa,,,24040 Hayes Ave,Murrieta,92562,"Riverside County, California",1998,6/1/2024,B94: Parent-Teacher Associations PTAs,813410: Civic and Social Organizations,No,No,No,,19031,42481,0,1.567759704,0,37395,,91.75023399,0,,
83-1404458,OHHS Bulldogs Football Booster,,,7625 Cataba Rd,Oak Hills,92344,"San Bernardino County, California",2005,6/1/2024,"N65: Football Clubs, Leagues",813410: Civic and Social Organizations,No,No,No,,19352,31058,0,31.23188872,0,39189,,160.1214627,0,,
33-0304062,California State PTA - Prado View Elementary PTA,,,2800 Ridgeline Dr,Corona,92882,"Riverside County, California",1943,6/1/2024,B94: Parent-Teacher Associations PTAs,813410: Civic and Social Organizations,No,No,No,,19365,55420,0,9.671598701,0,49717,,76.42054026,0,,
20-1318241,Rotary International - Lake Arrowhead,,https://lakearrowheadrotary.net/,PO Box 686,Lake Arrowhead,92352,"San Bernardino County, California",1958,6/1/2024,S80: Community Service Clubs,813410: Civic and Social Organizations,No,No,No,,19582,57132,0,99.4031366,1848,69032,,90.00028972,0,,
33-0501451,California State PTA - Rancho Elementary PTA,,,31530 La Serena Way,Temecula,92591,"Riverside County, California",1943,6/1/2024,B94: Parent-Teacher Associations PTAs,813410: Civic and Social Organizations,No,No,No,,19746,29498,0,5.33934504,0,32906,,144.4934055,0,,
16-1672228,California State PTA - French Valley Elementary PTA,,,36680 Cady Rd,Winchester,92596,"Riverside County, California",1943,6/1/2024,B94: Parent-Teacher Associations PTAs,813410: Civic and Social Organizations,No,No,No,,20049,72452,0,4.654115828,0,62191,,0,0,,
16-1672234,California State PTA - Temescal Valley Elementary PTA,,,22950 Claystone Ave,Corona,92883,"Riverside County, California",1943,6/1/2024,B94: Parent-Teacher Associations PTAs,813410: Civic and Social Organizations,No,No,No,,20652,95446,0,2.906355426,0,87358,,79.23372788,0,,
95-2572960,Rotary International - San Bernardino Crossroads,,,2061 W Redlands Blvd,Redlands,92373,"San Bernardino County, California",1969,6/1/2024,S80: Community Service Clubs,813410: Civic and Social Organizations,No,No,No,,20964,24387,0,100,0,12181,,47.61513833,0,,
85-0514043,Makingmusica,,https://www.makingmusica.org/,53805 Hwy 74 Suite 63,Mountain Center,92561,"Riverside County, California",2020,6/1/2024,"A60: Performing Arts Organizations, Activities",6116: Other Schools and Instruction,No,No,No,,21072,57684,0,6.154219541,0,61652,,56.7540388,63.79841692,,
27-0792750,MLK Band Boosters,,https://www.facebook.com/mlkband,9301 Wood Rd,Riverside,92508,"Riverside County, California",2010,6/1/2024,B11: Education Single Organization Support,813410: Civic and Social Organizations,No,No,No,,21120,100783,0,59.37211633,0,117852,,99.4221566,0,,
16-1672233,California State PTA - Clara Barton PTA,,,7437 Corona Valley Ave,Eastvale,92880,"Riverside County, California",1943,6/1/2024,B94: Parent-Teacher Associations PTAs,813410: Civic and Social Organizations,No,No,No,,21124,56545,0,2.976390485,0,60717,,100,0,,
47-4711461,Panther Baseball Booster Club,,https://www.coronapanthersbaseball.net/,750 Slincoln Ave PO Box 142 10,Corona,92882,"Riverside County, California",2005,6/1/2024,"N60: Amateur Sports Clubs, Leagues",813410: Civic and Social Organizations,No,No,No,,21455,104504,0,93.16581183,0,102702,,93.38669159,0,,
45-2433296,Rotary International - Rotary Club of Wildomar Ca,,,PO Box 499,Wildomar,92595,"Riverside County, California",1942,6/1/2024,S80: Community Service Clubs,813410: Civic and Social Organizations,No,No,No,,21470,9111,0,58.58851937,0,8198,,0,0,,
92-3938671,California State PTA - Alamos Owls PTA,,,38200 Pacific Park Dr,Murrieta,92563,"Riverside County, California",1943,6/1/2024,B94: Parent-Teacher Associations PTAs,813410: Civic and Social Organizations,No,No,No,,21683,54242,0,73.48364736,0,32559,,86.24343499,0,,
35-2510349,Redlands Unity Club,,,1307 Brookside Ave,Redlands,92373,"San Bernardino County, California",2016,6/1/2024,B11: Education Single Organization Support,813410: Civic and Social Organizations,No,No,No,,22617,56433,0,0,0,48977,,100.0020418,0,,
33-0934683,California State PTA - Wilson Elementary PTA,,,1750 Spyglass Dr,Corona,92883,"Riverside County, California",1943,6/1/2024,B94: Parent-Teacher Associations PTAs,813410: Civic and Social Organizations,No,No,No,,22736,40088,0,5.196068649,0,30287,,86.39680391,0,,
81-2815722,Thunderbird Water Polo Club,,,33970 Golden Crown Way,Yucaipa,92399,"San Bernardino County, California",2016,6/1/2024,"N67: Swimming, Water Recreation","713990: Amateur Sports, Youth Sports, and Recreational Services",No,No,No,,22961,123226,0,0,0,117392,,92.82659806,0,,
80-0631617,Afg Convention,,,61571 Topaz Dr,La Quinta,92253,"Riverside County, California",2014,6/1/2024,"F20: Alcohol, Drug, and Substance Abuse, Dependency Prevention and Treatment",,No,No,No,,23710,106976,0,100,0,114474,0,100,0,,
61-1979786,Satyagraha Foundation,,https://thesatyagrahafoundation.org/,48820 N View Dr,Palm Desert,92260,"Riverside County, California",2021,6/1/2024,X01: Religion-Related Alliances and Advocacy,813211: Grantmaking Foundations,No,No,No,,23727,2100,1,4.761904762,12218,8503,,,0,,
20-5907268,Palm Desert Sister Cities Foundation,,http://www.palmdesertsistercities.com/,73401 Terraza Dr,Palm Desert,92260,"Riverside County, California",2008,6/1/2024,"Q20: International Exchanges, Cultural Understanding",813410: Civic and Social Organizations,No,No,No,,23732,0,0,0,0,7139,,100,0,,
23-7381672,Rotary International - Rotary Club of Idyllwild,,https://idyllwildrotary.com/,PO Box 152,Idyllwild,92549,"Riverside County, California",1942,6/1/2024,S80: Community Service Clubs,813410: Civic and Social Organizations,No,No,No,,11415,29275,0,50.49359522,3545,32433,,88.22187278,0,,
33-0261141,SOROPTIMIST INTERNATIONAL of THE AMERICAS - 114334 Moreno Valley Ca,,https://www.simorenovalley.org,PO Box 906,Moreno Valley,92556,"Riverside County, California",2002,6/1/2024,"I70: Protection Against, Prevention of Neglect, Abuse, Exploitation",813410: Civic and Social Organizations,No,No,No,,24905,43207,0,31.71708288,0,43375,,67.61268012,0,,
90-0403835,California State PTA - Southshore Elementary PTA,,,30975 Southshore Dr,Menifee,92584,"Riverside County, California",1943,6/1/2024,B94: Parent-Teacher Associations PTAs,813410: Civic and Social Organizations,No,No,No,,24970,42680,0,1.361293346,0,48304,,79.16942696,0,,
27-2993898,Serrano Instrumental Music Association,,http://www.serranoband.org/,PO Box 294812,Phelan,92329,"San Bernardino County, California",2014,6/1/2024,B90: Educational Services,813410: Civic and Social Organizations,No,No,No,,25124,83891,0,99.99046382,0,71435,,0,0,,
95-6208123,California State PTA - Mariposa Elementary PTA,,,30800 Palo Alto Dr,Redlands,92373,"San Bernardino County, California",1967,6/1/2024,B94: Parent-Teacher Associations PTAs,813410: Civic and Social Organizations,No,No,No,,25424,71818,0,87.48920883,0,86926,,70.46108184,0,,
95-1154854,Rotary Club Of Riverside,,http://www.riversiderotary.com/,PO Box 1386,Riverside,92502,"Riverside County, California",1965,6/1/2024,S80: Community Service Clubs,813410: Civic and Social Organizations,No,No,No,,25460,26692,0,32.32429192,940,27268,,100,0,,
45-5440203,Sultana Band Boosters,,http://www.sultanaband.org/,17311 Sultana St,Hesperia,92345,"San Bernardino County, California",2013,6/1/2024,B90: Educational Services,813410: Civic and Social Organizations,No,No,No,,25606,88863,1,37.34512677,0,76131,,9.505983108,0,,
85-2800545,Coachella Valley Journalism Foundation,,,PO Box 207,Palm Springs,92263,"Riverside County, California",2021,6/1/2024,"A33: Printing, Publishing",512110: Motion Picture and Video Production,No,No,No,,25702,86028,4,99.99651276,0,82905,,0,51.26349436,,
84-2634325,Margaret White Elementary PTC,,,610 N Broadway,Blythe,92225,"Riverside County, California",2021,6/1/2024,B94: Parent-Teacher Associations PTAs,813410: Civic and Social Organizations,No,No,No,,26019,79786,0,100,0,79506,,100.3521747,0,,
81-4101336,Rtwelve,,https://sites.google.com/rtwelve.org/r12,33540 Brandon Rd,Yucaipa,92399,"San Bernardino County, California",2016,6/1/2024,"O50: Youth Development Programs, Other",813410: Civic and Social Organizations,No,No,No,,26666,108305,1,99.99261345,862,187686,39.75414326,62.48468186,37.51531814,,
27-4256935,Grievingteens,,,43235 Illinois Ave,Palm Desert,92211,"Riverside County, California",2012,6/1/2024,F60: Counseling Support Groups,624110: Child and Youth Services,Yes,No,No,,26876,115110,0,100,0,119501,,0,38.86996762,,
52-2444519,Sky Country PTO,,,5520 Lucretia Ave,Mira Loma,91752,"Riverside County, California",2007,6/1/2024,B94: Parent-Teacher Associations PTAs,813410: Civic and Social Organizations,No,No,No,,27037,16564,0,7.908717701,0,21280,,89.82142857,0,,
33-0250238,California State PTA - Gerald F Litel Elementary PTA,,,3425 Eucalyptus,Chino Hills,91709,"San Bernardino County, California",2010,6/1/2024,B94: Parent-Teacher Associations PTAs,813410: Civic and Social Organizations,No,No,No,,27078,77091,0,15.41295352,0,90178,1.108917918,91.67978886,0,,
95-1716798,Home of Neighborly Services of San Bernardino,,,PO Box 7058,San Bernardino,92411,"San Bernardino County, California",1956,6/1/2024,P80: Services to Promote the Independence of Specific Population Groups,624190: Individual and Family Services,No,No,No,,27320,65930,0,84.60488397,0,40364,,89.99851353,34.13189971,,
85-2170476,Bible Again Ministry,,,2249 Crescent Cir,Colton,92324,"San Bernardino County, California",2021,6/1/2024,X20: Christian,813110: Religious Organizations,No,No,No,,28201,89070,0,93.79252273,0,60869,,0,20.13504411,,
87-1373355,California State PTA - Taawila Elementary PTA,,,30344 Stage Coach Rd,Menifee,92584,"Riverside County, California",1943,6/1/2024,B94: Parent-Teacher Associations PTAs,813410: Civic and Social Organizations,No,No,No,,29023,86093,0,1.86310153,0,91564,,0,0,,
33-0482861,California State PTA - 4643 Red Hawk Elementary PTA,,,32045 Camino San Jose,Temecula,92592,"Riverside County, California",1943,6/1/2024,B94: Parent-Teacher Associations PTAs,813410: Civic and Social Organizations,No,No,No,,29078,29093,0,8.740934245,0,26474,,0,0,,
81-3887604,Helping Hands Group US,HHGUS,,31566 Railroad Canyon Rd PMB 1122 2,Canyon Lake,92587,"Riverside County, California",2016,6/1/2024,S01: Community Improvement and Capacity Building Alliances and Advocacy,624230: Emergency and Relief Services,No,No,No,,29190,90787,1,100,0,82622,,100.0012103,0,,
23-7011117,California State PTA - George Washington Elementary PTA,,,2760 Jane St,Riverside,92506,"Riverside County, California",1943,6/1/2024,B94: Parent-Teacher Associations PTAs,813410: Civic and Social Organizations,No,No,No,,29229,87646,1,100,0,81710,,30.99742994,0,,
95-6207423,California State PTA - Smiley Elementary PTA,,,1210 W Cypress Ave,Redlands,92373,"San Bernardino County, California",1920,6/1/2024,B94: Parent-Teacher Associations PTAs,813410: Civic and Social Organizations,No,No,No,,29235,28214,0,6.879563337,0,19128,4.516938519,95.48306148,0,,
26-0399800,California State PTA - 6090 Lisa J Mails Elementary PTA,,,35185 Briggs Rd,Murrieta,92563,"Riverside County, California",1943,6/1/2024,B94: Parent-Teacher Associations PTAs,813410: Civic and Social Organizations,No,No,No,,29793,81431,0,1.482236495,0,100310,,0,0,,
34-1991022,California State PTA - Harada Elementary PTA,,,12884 Oakdale St,Corona,92880,"Riverside County, California",1943,6/1/2024,B94: Parent-Teacher Associations PTAs,813410: Civic and Social Organizations,No,No,No,,29900,84427,0,9.342982695,0,90202,,91.17092747,0,,
90-0327639,California State PTA - Perdew PTA,,,13051 Miller Ave,Rancho Cucamonga,91739,"San Bernardino County, California",1943,6/1/2024,B94: Parent-Teacher Associations PTAs,813410: Civic and Social Organizations,No,No,No,,30090,37693,0,3.480752394,0,29231,,89.4392939,0,,
46-3934604,San Diego Pro Arte Voices,,https://sdproartevoices.org/,36398 Dali Dr,Cathedral City,92234,"Riverside County, California",2014,6/1/2024,"A60: Performing Arts Organizations, Activities",711130: Musical Groups and Artists,No,No,No,,30238,29393,1,99.98639132,1189,35273,,0,45.76021319,,
33-0353551,California State PTA - Oak Ridge Elementary PTA,,,15452 Valle Vista Dr,Chino Hills,91709,"San Bernardino County, California",1943,6/1/2024,B94: Parent-Teacher Associations PTAs,813410: Civic and Social Organizations,No,No,No,,30668,53796,0,2.161870771,0,60115,,96.85436247,0,,
33-0370209,California State PTA - Butterfield Ranch Elementary PTA,,https://bf.sd44.org/?dst=static,6350 Mystic Canyon Rd,Chino Hills,91709,"San Bernardino County, California",1986,6/1/2024,B94: Parent-Teacher Associations PTAs,813410: Civic and Social Organizations,No,No,No,,30754,129697,0,31.6607169,0,132806,1.088806229,98.59946087,0,,
33-0627168,Club at Pga West Mens Golf Association,,,55955 Pga Blvd,La Quinta,92253,"Riverside County, California",1994,6/1/2024,"N60: Amateur Sports Clubs, Leagues",713910: Golf Courses and Country Clubs,No,No,No,,31090,67030,0,100,0,67610,,0,0,,
57-1183960,Rhodes PEP Club,,https://www.rhodespepclub.com/,6655 Schaefer Ave,Chino,91710,"San Bernardino County, California",2011,6/1/2024,B94: Parent-Teacher Associations PTAs,624110: Child and Youth Services,No,No,No,,31184,146385,0,2.421013082,0,163168,3.139708766,96.86029123,0,,
92-2524270,Ironwood Employee Assistance Foundation,,,73735 Irontree Dr,Palm Desert,92260,"Riverside County, California",2023,6/1/2024,T20: Private Foundations,813211: Grantmaking Foundations,No,No,No,,31429,36104,0,100,0,4675,,,0,,
20-5311021,California State PTA - Mark Twain Elementary PTA,,,19411 Krameria Ave,Riverside,92508,"Riverside County, California",1943,6/1/2024,B94: Parent-Teacher Associations PTAs,813410: Civic and Social Organizations,No,No,No,,31450,102505,0,35.88020097,0,95240,,93.52687946,0,,
33-1060726,California State PTA - Monte Vista Elementary PTA,,http://www.montevistapta.com/,37420 Via Mira Mosa,Murrieta,92563,"Riverside County, California",1943,6/1/2024,B94: Parent-Teacher Associations PTAs,813410: Civic and Social Organizations,No,No,No,,31706,56446,0,13.58643659,0,62940,,64.36129647,0,,
33-0730102,Childrens Playtime Productions,,http://www.childrensplaytimeproductions.com/,PO Box 10087,Palm Desert,92255,"Riverside County, California",1997,6/1/2024,A65: Theater,711110: Theater Companies and Dinner Theaters,No,No,No,,31882,79677,0,30.1379319,0,99881,,39.50200739,0,,
83-3044509,The Coyote Pack Foundation,,,1400 E Orange Ave,Perris,92571,"Riverside County, California",2005,6/1/2024,B94: Parent-Teacher Associations PTAs,813410: Civic and Social Organizations,No,No,No,,31940,142282,0,68.17306476,0,143138,,84.01542567,0,,
30-0336805,Frontier Project Foundation,,http://www.cvwdwater.com/297/Frontier-Project,10435 Ashford St,Rancho Cucamonga,91730,"San Bernardino County, California",2008,6/1/2024,C60: Environmental Education,"813312: Environment, Conservation, and Wildlife Organizations",No,No,No,,32089,18766,0,99.09410636,31145,18766,,99.86678035,0,,
90-0725959,Lake Hills Elementary PTO,,https://lakehills.alvordschools.org/12937,16346 Village Meadow Dr,Riverside,92503,"Riverside County, California",2012,6/1/2024,B94: Parent-Teacher Associations PTAs,813410: Civic and Social Organizations,No,No,No,,32420,111332,0,70.21341573,0,114756,,0,0,,
20-0452209,Ontario Fastpitch Softball Association,,,3045 S Archibald Ave H136,Ontario,91761,"San Bernardino County, California",2019,6/1/2024,N6A: Golf,"713990: Amateur Sports, Youth Sports, and Recreational Services",No,No,No,,32880,113742,1,100,0,90798,,100,0,,
33-0717562,California State PTA - 5214 Tovashal Elementary PTA,,,23801 St Raphael,Murrieta,92562,"Riverside County, California",1943,6/1/2024,B94: Parent-Teacher Associations PTAs,813410: Civic and Social Organizations,No,No,No,,32981,53666,0,3.557187046,0,60142,,94.24694889,0,,
33-0311079,California State PTA - Jasper Elementary PTA,,,6881 Jasper St,Rancho Cucamonga,91701,"San Bernardino County, California",1943,6/1/2024,B94: Parent-Teacher Associations PTAs,813410: Civic and Social Organizations,No,No,No,,33214,59817,0,100,0,71861,,0,0,,
77-0556691,Explorer Parent Support Group,,,13247 Amethyst Rd,Victorville,92392,"San Bernardino County, California",2006,6/1/2024,B94: Parent-Teacher Associations PTAs,813410: Civic and Social Organizations,No,No,No,,33317,84228,0,99.99762549,0,85753,0,100,0,,
33-0858084,California State PTA - Benjamin Franklin Elementary PTA,,,2650 Oak Ave,Corona,92882,"Riverside County, California",1943,6/1/2024,B94: Parent-Teacher Associations PTAs,813410: Civic and Social Organizations,No,No,No,,33790,64649,1,9.092174666,0,68152,,94.08821458,0,,
95-6094096,Rotary International - Blythe Rotary Club,,,PO Box 475,Blythe,92226,"Riverside County, California",1942,6/1/2024,S80: Community Service Clubs,813410: Civic and Social Organizations,No,No,No,,34431,25364,0,99.94480366,0,23681,,0,0,,
86-1833388,Rialto Rotary,,http://rialtorotary.org/,5822 Date Ave,Rialto,92377,"San Bernardino County, California",2021,6/1/2024,S80: Community Service Clubs,813410: Civic and Social Organizations,No,No,No,,35147,5075,0,100,0,12507,,79.61141761,0,,
73-1691246,VNW Circle of Care,,,26090 Ynez Rd,Temecula,92591,"Riverside County, California",2000,6/1/2024,"K31: Food Banks, Food Pantries",624210: Community Food Services,No,No,No,,35172,3590377,1,100,0,3704286,0,100,0.745082858,,
95-6092814,National Exchange Club - 1121 Hemet-San Jacinto Valley Ca,,,PO Box 2391,Hemet,92546,"Riverside County, California",1996,6/1/2024,S80: Community Service Clubs,813410: Civic and Social Organizations,No,No,No,,35234,40774,0,46.23044097,947,43493,10.24039542,93.57827696,0,,
33-0666308,California State PTA - 5128 Hidden Trails Elementary PTA,,https://www.chino.k12.ca.us/HiddenTrails,2250 Ridgeview Dr,Chino Hills,91709,"San Bernardino County, California",1998,6/1/2024,B94: Parent-Teacher Associations PTAs,813410: Civic and Social Organizations,No,No,No,,35330,63634,0,100,0,73896,,100,0,,
95-4528778,Friends of Lightfoot Pto,,,6989 Kenyon Way,Alta Loma,91701,"San Bernardino County, California",1996,6/1/2024,B94: Parent-Teacher Associations PTAs,813211: Grantmaking Foundations,No,No,No,,35691,49707,0,15.36805681,0,67947,,82.50401048,0,,
46-2772227,Route 66 Reunion,,https://gocvb.org/discover/events/route-66-cruisin-reunion/,2000 E Convention Ctr Way,Ontario,91764,"San Bernardino County, California",2013,6/1/2024,"N50: Recreational, Pleasure, or Social Club","7113: Promoters of Performing Arts, Sports, and Similar Events",No,No,No,,36636,179607,0,0.100218811,78604,190054,2.798152104,97.2018479,0,,
95-3310601,Rotary International - Rancho Mirage Rotary Club,,,PO Box 1041,Rancho Mirage,92270,"Riverside County, California",1942,6/1/2024,S80: Community Service Clubs,813410: Civic and Social Organizations,No,No,No,,36944,12701,0,100,0,10411,,0,0,,
95-6207221,California State PTA - V O E PTA,,,22836 Fir LN,Crestline,92325,"San Bernardino County, California",2012,6/1/2024,B94: Parent-Teacher Associations PTAs,813410: Civic and Social Organizations,No,No,No,,37320,67711,0,0.391369201,0,67123,9.479612055,90.52038794,0,,
33-0556284,Upland Travelers Club,,,2237 Coolcrest Way,Upland,91784,"San Bernardino County, California",1998,6/1/2024,"N50: Recreational, Pleasure, or Social Club",813410: Civic and Social Organizations,No,No,No,,37380,141088,0,5.709202767,0,139419,0.417103651,0,0,,
95-6096652,Rotary International - Palm Desert Club,,,PO Box 11574,Palm Desert,92255,"Riverside County, California",1942,6/1/2024,S80: Community Service Clubs,813410: Civic and Social Organizations,No,No,No,,37670,168281,0,10.92636721,20500,169711,,46.58154156,0,,
20-1289365,The Shella Foundation,,https://shellacare.com/,41593 Winchester Rd 200-440,Temecula,92590,"Riverside County, California",2004,6/1/2024,P20: Human Service Organizations,813211: Grantmaking Foundations,No,No,No,,37945,62169,1,100,0,65422,4.660511754,91.94002018,0,,
46-1775649,Rotary Club of Fontana Foundation,,,PO Box 313,Fontana,92334,"San Bernardino County, California",2019,6/1/2024,S80: Community Service Clubs,813410: Civic and Social Organizations,Yes,No,No,,38196,102843,0,100,0,104674,,100,0,,
95-3842510,Rotary Club of Indio Foundation,,https://www.indiorotary.org/,PO Box 412,Indio,92202,"Riverside County, California",1983,6/1/2024,S80: Community Service Clubs,813410: Civic and Social Organizations,No,No,No,,38716,68143,0,100,0,64182,,98.35623695,0,,
95-2560398,Rotary International - Apple Valley Rotary Club,,http://www.applevalleyrotary.com/,PO Box 943,Apple Valley,92307,"San Bernardino County, California",1968,6/1/2024,S80: Community Service Clubs,813410: Civic and Social Organizations,No,No,No,,38774,30289,0,76.8496814,0,18335,,146.2885192,0,,
95-6095756,Rotary International - Rialto Rotary Club,,http://rialtorotary.org/,PO Box 263,Rialto,92377,"San Bernardino County, California",1958,6/1/2024,S80: Community Service Clubs,813410: Civic and Social Organizations,No,No,No,,38821,62944,0,100,0,61862,,22.69244447,0,,
20-5013343,CALIFORNIA State PTA - Judson & Brown PTA,,https://home.jandbpta.org/,1401 E Pennsylvania Ave,Redlands,92374,"San Bernardino County, California",1943,6/1/2024,B94: Parent-Teacher Associations PTAs,813410: Civic and Social Organizations,No,No,No,,39013,60192,0,2.291002127,0,46928,,99.81034777,0,,
33-0478937,Magnolia Music Boosters,,,PO Box 2147,Chino,91708,"San Bernardino County, California",1997,6/1/2024,"T00: Philanthropy, Voluntarism, and Grantmaking Foundations: General",813410: Civic and Social Organizations,No,No,No,,39182,21140,0,0,0,23762,7.814998737,92.18500126,0,,
83-1526686,Restore Unity Incorporated,,https://www.restoreunity.com/,17508 Hercules St Suite B6,Hesperia,92345,"San Bernardino County, California",2019,6/1/2024,P60: Emergency Assistance,813110: Religious Organizations,No,No,No,,39355,1053508,0,100,21626,1015844,4.303318226,95.69668177,0,,
33-0375076,California State PTA - Rail Ranch Elementary PTA,,,25030 Via Santee,Murrieta,92563,"Riverside County, California",1943,6/1/2024,B94: Parent-Teacher Associations PTAs,813410: Civic and Social Organizations,No,No,No,,40524,8457,0,39.50573489,0,13609,,0,0,,
33-0549206,Nighthawk Marching Band Boosters,,http://www.crimsoncadets.org/,PO Box 1338,Murrieta,92564,"Riverside County, California",1997,6/1/2024,B80: Student Services and Organizations of Students,813410: Civic and Social Organizations,No,No,No,,40562,313241,2,7.722807678,0,328554,4.07725975,95.92274025,0,,
33-0298352,California State PTA - Camino Real Elementary PTA,,,4655 Camino Real,Jurupa Valley,92509,"Riverside County, California",1943,6/1/2024,B94: Parent-Teacher Associations PTAs,813410: Civic and Social Organizations,No,No,No,,41042,45814,0,100,0,54530,,93.33211076,0,,
95-6133638,Yucaipa Valley Lions Clubs,,,PO Box 1081,Yucaipa,92399,"San Bernardino County, California",2014,6/1/2024,S80: Community Service Clubs,813410: Civic and Social Organizations,No,No,No,,41499,23776,1,97.29138627,0,23212,,74.36670688,0,,
88-4101558,RayRose Theatricals,,https://thebent.org/,117 Pali Dr,Palm Springs,92264,"Riverside County, California",2022,6/1/2024,A65: Theater,711110: Theater Companies and Dinner Theaters,No,No,No,,41564,76103,2,80.68013088,0,63228,,0,0,,
20-5873843,Teamcalifornia Economic Development Corporation,,https://teamca.org/,11762 De Palma Rd 3 Suite C,Corona,92883,"Riverside County, California",2006,6/1/2024,S30: Economic Development,926110: Economic Development Corporations and Economic Program Organizations,Yes,Yes,No,,41967,409964,0,0,25868,412790,16.30005572,83.69994428,47.82528647,,
